title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
Amarcord,Federico Fellini,1973,Italy,tt0071129,1973,123,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Ana and the Wolves,Carlos Saura,1973,Spain,tt0068207,1973,100,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Don Juan (or if Don Juan Were a Woman),Roger Vadim,1973,Italy,tt0069990,1973,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Fantastic Planet,René Laloux,1973,France,tt0070544,1973,72,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Mother and the Whore,Jean Eustache,1973,France,tt0070359,1973,210,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Spirit of the Beehive,Víctor Erice,1973,Spain,tt0070040,1973,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Cousin Angelica,Carlos Saura,1974,Spain,tt0072030,1974,107,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Céline and Julie Go Boating,Jacques Rivette,1974,France,tt0071381,1974,193,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Lacombe, Lucien",Louis Malle,1974,France,tt0071733,1974,138,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Lancelot du lac,Robert Bresson,1974,France,tt0071737,1974,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Clockmaker of St. Paul,Bertrand Tavernier,1974,France,tt0071622,1974,105,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Mouth Agape,Maurice Pialat,1974,France,tt0071587,1974,82,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Phantom of Liberty,Luis Buñuel,1974,France,tt0071487,1974,104,fuzzy_canonical,100.0,1.0,1.0,1.0,10
We All Loved Each Other So Much,Ettore Scola,1974,Italy,tt0075793,1974,124,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Adoption,Márta Mészáros,1975,Hungary,tt0073948,1975,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Black Moon,Louis Malle,1975,France,tt0072709,1975,100,fuzzy_canonical,100.0,1.0,1.0,1.0,4
"Cousin, Cousine",Jean-Charles Tacchella,1975,France,tt0072826,1975,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Daguerréotypes,Agnès Varda,1975,France,tt0071384,1975,79,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Hester Street,Joan Micklin Silver,1975,United States,tt0073107,1975,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
India Song,Marguerite Duras,1975,France,tt0073166,1975,120,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Je tu il elle,Chantal Akerman,1975,Belgium,tt0071690,1974,86,fuzzy_canonical,92.5,1.0,1.0,0.5,3
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975,France,tt0073198,1975,202,fuzzy_canonical,100.0,1.0,1.0,1.0,6
Let Joy Reign Supreme,Bertrand Tavernier,1975,France,tt0072053,1975,119,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Real Young Girl,Catherine Breillat,1976,France,tt0135024,1976,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Coup de grâce,Volker Schlöndorff,1976,Germany,tt0074515,1976,97,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Cría cuervos . . .,Carlos Saura,1976,Spain,tt0074360,1976,105,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Gloria Mundi,Nico Papatakis,1976,France,tt0219058,1976,130,fuzzy_canonical,98.1,1.0,0.9454,1.0,10
La marge,Walerian Borowczyk,1976,France,tt0074868,1976,88,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Maîtresse,Barbet Schroeder,1976,France,tt0074883,1976,112,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Mr. Klein,Joseph Losey,1976,France,tt0074916,1976,123,fuzzy_canonical,100.0,1.0,1.0,1.0,10
News from Home,Chantal Akerman,1976,France,tt0076452,1976,89,fuzzy_canonical,100.0,1.0,1.0,1.0,1
The Castaways of Turtle Island,Jacques Rozier,1976,France,tt0273874,1976,140,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Judge and the Assassin,Bertrand Tavernier,1976,France,tt0073219,1976,128,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Scar,Krzysztof Kieślowski,1976,Poland,tt0074220,1976,106,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Special Day,Ettore Scola,1977,Italy,tt0076085,1977,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Baxter, Vera Baxter",Marguerite Duras,1977,France,tt0074190,1977,95,fuzzy_canonical,100.0,1.0,1.0,1.0,8
"Elisa, vida mía",Carlos Saura,1977,Spain,tt0075983,1977,125,fuzzy_canonical,100.0,1.0,1.0,1.0,9
Spoiled Children,Bertrand Tavernier,1977,France,tt0075933,1977,113,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"The Devil, Probably",Robert Bresson,1977,France,tt0075938,1977,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Man Who Loved Women,François Truffaut,1977,France,tt0076155,1977,120,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Model Couple,William Klein,1977,France,tt0191053,1977,101,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Wedding,Robert Altman,1978,United States,tt0078481,1978,125,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Graduate First,Maurice Pialat,1978,France,tt0079701,1978,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Les rendez-vous d’Anna,Chantal Akerman,1978,Belgium,tt0078152,1978,128,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Los ojos vendados,Carlos Saura,1978,France,tt0078021,1978,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
CHRIST STOPPED AT EBOLI: Episode 1,Francesco Rosi,1979,Italy,tt0079010,1979,150,fuzzy_canonical,97.0,0.9394,1.0,1.0,10
CHRIST STOPPED AT EBOLI: Episode 2,Francesco Rosi,1979,Italy,tt0079010,1979,150,fuzzy_canonical,97.0,0.9394,1.0,1.0,10
CHRIST STOPPED AT EBOLI: Episode 3,Francesco Rosi,1979,Italy,tt0079010,1979,150,fuzzy_canonical,97.0,0.9394,1.0,1.0,10
CHRIST STOPPED AT EBOLI: Episode 4,Francesco Rosi,1979,Italy,tt0079010,1979,150,fuzzy_canonical,97.0,0.9394,1.0,1.0,10
Camera Buff,Krzysztof Kieślowski,1979,Poland,tt0078763,1979,112,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Love on the Run,François Truffaut,1979,France,tt0078771,1979,94,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Nocturnal Uproar,Catherine Breillat,1979,France,tt0134993,1979,97,fuzzy_canonical,100.0,1.0,1.0,1.0,10
West Indies: The Fugitive Slaves of Liberty,Med Hondo,1979,France,tt0080125,1979,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Week’s Vacation,Bertrand Tavernier,1980,France,tt0081686,1980,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
