actor_nconst,actor_name
nm0243921,Marguerite Duras
nm0244040,Gian Paolo Durgar
nm0244884,Utpal Dutt
nm0246192,Barbara Dziekan
nm0248319,Aimee Eccles
nm0249735,Allan Edwall
nm0251708,Jill Eikenberry
nm0255900,Roger Elwin
nm0255968,Ruby Elzy
nm0996565,Pierre-Yves Burton
nm0998350,Michael Jong-Quin Huang
nm0998535,Constance Willis
nm11004258,Miguel Chavez
nm1177341,Monique Godard
nm11779216,Grace Litzau
nm11779217,Arnold Beneke
nm1358418,Hal Berg
nm1623740,Han Ji-hye
nm16302282,Hayato Kurihara
nm2614923,Prince Adu
nm2641282,Alan Pierson
nm2673611,Erik Gustafsson
nm2680092,Kasper König
nm3931094,Ardeshir Kazemi
nm3950508,Lily Baldwin
nm3973450,Man-Gwan Wong
nm4038108,Barbara Levin
nm7725622,JeVon Blackwell
nm0521041,François Loriquet
nm0522034,François Loup
nm0522926,Edmund Lowe
nm0524201,João Lucas
nm0525283,André Luguet
nm0527002,Federico Luppi
nm0529543,Jean-Pierre Léaud
nm0530581,Elina Löwensohn
nm0530997,Sybil Maas
nm0535350,Takeshi Maeda
