imdb_tconst,tmdb_id,original_language,status
tt0059012,986,en,ok
tt0059063,71725,sh,ok
tt0059084,24134,en,ok
tt0059113,907,en,ok
tt0059159,72026,ja,ok
tt0059160,94655,en,ok
tt0059177,198815,fr,ok
tt0059205,3160,ja,ok
tt0059229,19120,it,ok
tt0059303,46916,ja,ok
tt0059346,19545,ja,ok
tt0059348,138030,bn,ok
tt0059415,39387,cs,ok
tt0059417,198567,bn,ok
tt0059554,211708,ja,ok
tt0059581,106124,cs,ok
tt0059592,2786,fr,ok
tt0059616,48764,fr,ok
tt0059619,46591,it,ok
tt0059653,60555,en,ok
tt0059712,30080,en,ok
tt0059715,39506,ja,ok
tt0059742,15121,en,ok
tt0059798,42731,en,ok
tt0059884,147371,ru,ok
tt0059909,85246,en,ok
tt0059919,219245,ja,ok
tt0059934,90228,fr,ok
tt0059942,54275,ja,ok
tt0060082,95503,ja,ok
tt0060086,15598,en,ok
tt0060107,895,ru,ok
tt0060138,20108,fr,ok
tt0060223,114333,es,ok
tt0060263,53026,fr,ok
tt0060277,19884,ja,ok
tt0060304,8074,fr,ok
tt0060305,25047,fr,ok
tt0060440,3146,ja,ok
tt0060464,3115,ja,ok
tt0060486,42720,ja,ok
tt0060529,9646,sv,ok
tt0060543,77381,cs,ok
tt0060545,59336,it,ok
tt0060560,42718,ja,ok
tt0060574,45694,de,ok
tt0060586,42721,ja,ok
tt0060597,118497,cs,ok
tt0060635,104237,zh,ok
tt0060665,874,en,ok
tt0060675,4710,fr,ok
tt0060740,49782,sv,ok
tt0060742,112999,bn,ok
tt0060758,95597,fr,ok
tt0060770,104306,cs,ok
tt0060802,789,cs,ok
tt0060827,797,sv,ok
tt0060879,66953,fr,ok
tt0060921,31918,en,ok
tt0060934,5923,en,ok
tt0060959,46919,cs,ok
tt0061065,29452,ja,ok
tt0061084,47010,el,ok
tt0061101,45706,ja,ok
tt0061132,33954,it,ok
tt0061162,149465,ru,ok
tt0061184,396,en,ok
tt0061196,50013,ru,ok
tt0061395,649,fr,ok
tt0061418,475,en,ok
tt0061495,4837,fr,ok
tt0061584,16081,en,ok
tt0061613,42691,it,ok
tt0061620,42692,sv,ok
tt0061722,37247,en,ok
tt0061735,1879,en,ok
tt0061781,38442,cs,ok
tt0061811,10633,en,ok
tt0061834,42695,sv,ok
tt0061847,27031,ja,ok
tt0061856,18627,ja,ok
tt0061882,17905,ja,ok
tt0061883,83440,ru,ok
tt0061912,42696,sh,ok
tt0061971,126432,ja,ok
tt0061996,1561,fr,ok
